,Tour Leg,Night #,City,Day,Date,Show,Special Guest,Announcement,Mishap?,Notes,Lover Bodysuit,The Man Jacket,Mic1,Lover Guitar,Mic2,Fearless Dress,Guitar,Mic3,Red Shirt,Mic4,Romper,WANEGBT Chant (Kam),ATW Robe,Guitar,Mic5,Speak Now Gown,Koi Fish Guitar,Mic6,Rep Jumpsuit,Mic7,folklore Dress,evermore Dress,Standing Ovation,Cloak,Mic8,Old 1989 Set,New 1989 Top,New 1989 Skirt,L Boot,R Boot,Match?,Mic9,TTPD Dress,Gloves,Choker,Mic10,Smallest Man,Broken Heart Set,Broken Heart Jacket,Mic11,Fur,Midnights Shirt,Midnights Bodysuit,Karma Jacket,Mic12,Surprise Song Dress,Speech?,Mic13,Guitar Surprise Song Album 1,Song 1,Guitar Surprise Song Album 2,Song 2,Guitar Surprise Song Album 3,Song 3,Speech?,Mic14,Piano Surprise Song Album 1,P Song 1,Piano Surprise Song Album 2,P Song 2,Piano Surprise Song Album 3,P Song 3
10,US Leg,1,"Houston, TX",Friday,4/21/2023,11,No,No,No Data,,Pink & Blue,Silver Jacket,Blurple Sparkles,Pink Guitar,Pastel,Short Fringe,Sparkly 13,Gold & Black,A Lot Going On,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Champagne,,Purple Metallic,Red & Black,Snake,Cream,Orange,1:25,Green,Wood Grain,Orange,Orange,,Orange,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Pink,Swirls,Multicolor,Navy Sparkles,Yellow,Yes,Maroon,1989,Wonderland,,,,,Yes,Gold,Fearless,You're Not Sorry,,,,
11,US Leg,2,"Houston, TX",Saturday,4/22/2023,12,No,No,No Data,,Blue & Gold,Black Jacket,Blurple Sparkles,Blue Guitar,Pastel,Long Gold,Sparkly 13,Gold & Black,Ew,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Tissue Flower,,Purple Metallic,Red & Black,Snake,Purple,Orange,:41,Green,Wood Grain,Pink,Pink,,Pink,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Silver,Lines,Magenta,Navy Sparkles,Maroon,Yes,Maroon,Debut,A Place in This World,,,,,Yes,Gold,Fearless,Today Was a Fairytale,,,,
12,US Leg,3,"Houston, TX",Sunday,4/23/2023,13,No,No,No Data,,Pink & Blue,Silver Jacket,Blurple Sparkles,Purple Guitar,Pastel,Short Fringe,Sparkly 13,Gold & Black,Never Ever,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Pink,,Purple Metallic,Red & Black,Snake,Pink,Orange,1:37,Green,Wood Grain,Green,Green,,Green,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Purple,Swirls,Light Pink,Navy Sparkles,Green,Yes,Maroon,Red,Begin Again,,,,,Yes,Gold,Debut,Cold As You,,,,
13,US Leg,1,"Atlanta, GA",Friday,4/28/2023,14,No,No,No Data,,Pink & Blue,Silver Jacket,Blurple Sparkles,Pink Guitar,Pastel,Short Fringe,Sparkly 13,Gold & Black,A Lot Going On,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Pink,,Purple Metallic,Red & Black,Snake,Cream,Orange,1:10,Green,Wood Grain,Green,Green,,Green,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Silver,Swirls,Magenta,Navy Sparkles,Green,Yes,Maroon,Fearless,The Other Side of the Door,,,,,Yes,Gold,evermore,coney island,,,,
14,US Leg,2,"Atlanta, GA",Saturday,4/29/2023,15,No,No,No Data,,Blue & Gold,Black Jacket,Blurple Sparkles,Blue Guitar,Pastel,Long Gold,Sparkly 13,Gold & Black,Ew,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Champagne,,Purple Metallic,Red & Black,Snake,Purple,Orange,:34,Green,Wood Grain,Pink,Pink,,Pink,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Pink,Lines,Light Pink,Navy Sparkles,Maroon,Yes,Maroon,Midnights,High Infidelity,,,,,Yes,Gold,reputation,Gorgeous,,,,
15,US Leg,3,"Atlanta, GA",Sunday,4/30/2023,16,No,No,No Data,,Pink & Blue,Silver Jacket,Blurple Sparkles,Purple Guitar,Pastel,Short Fringe,Sparkly 13,Gold & Black,Never Ever,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Tissue Flower,,Purple Metallic,Red & Black,Snake,Pink,Orange,3:34,Green,Wood Grain,Orange,Orange,,Orange,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Purple,Swirls,Multicolor,Navy Sparkles,Yellow,Yes,Maroon,Red,I Bet You Think About Me,,,,,Yes,Gold,1989,How You Get The Girl,,,,
16,US Leg,1,"Nashville, TN",Friday,5/5/2023,17,No,Yes,No Data,Speak Now Announcement! Nothing New added to setlist (until East Rutherford N3),Pink & Blue,Silver Jacket,Blurple Sparkles,Pink Guitar,Pastel,Short Fringe,Sparkly 13,Gold & Black,Ew,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Champagne,,Purple Metallic,Red & Black,Snake,Cream,Orange,2:41,Green,Wood Grain,Pink,Pink,,Pink,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Purple,Lines,Magenta,Navy Sparkles,Maroon,Yes,Maroon,Speak Now,Sparks Fly,,,,,Yes,Gold,Debut,Teardrops on My Guitar,,,,
17,US Leg,2,"Nashville, TN",Saturday,5/6/2023,18,No,No,Yes,"invisible string opens folklore in replacement of the 1, switches back the show after.",Blue & Gold,Black Jacket,Blurple Sparkles,Blue Guitar,Pastel,Long Gold,Sparkly 13,Gold & Black,A Lot Going On,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Tissue Flower,,Purple Metallic,Red & Black,Snake,Pink,Orange,2:20,Green,Wood Grain,Green,Green,,Green,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Silver,Swirls,Multicolor,Navy Sparkles,Green,Yes,Maroon,1989,Out of the Woods,,,,,Yes,Gold,Fearless,Fifteen,,,,
18,US Leg,3,"Nashville, TN",Sunday,5/7/2023,19,Yes,No,No Data,"Special Guest Aaron Dessner to sing Would've Could've Should've, 4 hour delay. ",Pink & Blue,Silver Jacket,Rain Mic,Purple Guitar,Rain Mic,Short Fringe,Sparkly 13,Rain Mic,Never Ever,Rain Mic,Red/Black,LIKE EVER,Red Black Ombre,Black,Rain Mic,Pink,,Rain Mic,Red & Black,Snake,Purple,Orange,1:54,Green,Rain Mic,Orange,Orange,,Orange,,Matching Set,Rain Mic,,,,,,,,,Purple Fur,Pink,Lines,Magenta,Rain Mic,Yellow,Yes,Rain Mic,Midnights,Would've Could've Should've,,,,,Yes,Rain Mic,Speak Now,Mine,,,,
19,US Leg,1,"Philadelphia, PA",Friday,5/12/2023,20,No,No,No Data,,Pink & Blue,Silver Jacket,Blurple Sparkles,Pink Guitar,Pastel,Short Fringe,Sparkly 13,Gold & Black,A Lot Going On,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Pink,,Purple Metallic,Red & Black,Snake,Cream,Orange,1:15,Green,Wood Grain,Pink,Pink,,Pink,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Purple,Swirls,Multicolor,Navy Sparkles,Maroon,Yes,Maroon,evermore,gold rush,,,,,Yes,Gold,Red,Come Back... Be Here,,,,
20,US Leg,2,"Philadelphia, PA",Saturday,5/13/2023,21,No,No,Yes,"""Hey stop!"" Bad Blood",Blue & Gold,Black Jacket,Blurple Sparkles,Blue Guitar,Pastel,Long Gold,Sparkly 13,Gold & Black,Ew,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Champagne,,Purple Metallic,Red & Black,Snake,Green,Orange,3:34,Green,Wood Grain,Orange,Orange,,Orange,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Pink,Lines,Magenta,Navy Sparkles,Yellow,Yes,Maroon,Fearless,Forever & Always,,,,,Yes,Gold,1989,This Love,,,,
21,US Leg,3,"Philadelphia, PA",Sunday,5/14/2023,22,No,No,No Data,,Pink & Blue,Silver Jacket,Blurple Sparkles,Purple Guitar,Pastel,Short Fringe,Sparkly 13,Gold & Black,Never Ever,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Tissue Flower,,Purple Metallic,Red & Black,Snake,Purple,Orange,1:37,Green,Wood Grain,Green,Green,,Green,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Silver,Swirls,Multicolor,Navy Sparkles,Green,Yes,Maroon,Fearless,Hey Stephen,,,,,Yes,Gold,Fearless,The Best Day,,,,
22,US Leg,1,"Foxborough, MA",Friday,5/19/2023,23,No,No,No Data,,Pink & Blue,Silver Jacket,Blurple Sparkles,Pink Guitar,Pastel,Short Fringe,Sparkly 13,Gold & Black,Never Ever,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Pink,,Purple Metallic,Red & Black,Snake,Green,Orange,3:14,Green,Wood Grain,Orange,Orange,,Orange,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Silver,Lines,Magenta,Navy Sparkles,Yellow,Yes,Maroon,Debut,Should've Said No,,,,,Yes,Gold,Red,Better Man,,,,
23,US Leg,2,"Foxborough, MA",Saturday,5/20/2023,24,No,No,No Data,,Blue & Gold,Black Jacket,Rain Mic,Blue Guitar,Rain Mic,Long Gold,Sparkly 13,Rain Mic,A Lot Going On,Rain Mic,Red/Black,LIKE EVER,Red Black Ombre,Black,Rain Mic,Champagne,,Rain Mic,Red & Black,Snake,Cream,Orange,2:34,Green,Rain Mic,Green,Green,,Green,,Matching Set,Rain Mic,,,,,,,,,Purple Fur,Pink,Swirls,Multicolor,Rain Mic,Green,Yes,Rain Mic,Midnights,Question...?,,,,,Yes,Rain Mic,Debut,Invisible,,,,
24,US Leg,3,"Foxborough, MA",Sunday,5/21/2023,25,No,No,No Data,,Pink & Blue,Silver Jacket,Blurple Sparkles,Purple Guitar,Pastel,Short Fringe,Sparkly 13,Gold & Black,Ew,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Tissue Flower,,Purple Metallic,Red & Black,Snake,Pink,Orange,3:36,Green,Wood Grain,Pink,Pink,,Pink,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Purple,Lines,Magenta,Navy Sparkles,Maroon,Yes,Maroon,Lover,I Think He Knows,,,,,Yes,Maroon,Red,Red,,,,
25,US Leg,1,"East Rutherford, NJ",Friday,5/26/2023,26,Yes,Yes,No Data,Special Guests Jack Antonoff to sing Getaway Car and Ice Spice to sing Karma ft. Ice Spice,Purple Tassles,Silver Jacket,Blurple Sparkles,Pink Guitar,Pastel,Short Fringe,Sparkly 13,Gold & Black,Never Ever,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,White/Silver,,Purple Metallic,Red & Black,Snake,Cream,Bronze,2:50,Green,Wood Grain,Pink,Pink,,Pink,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Silver,Lines,No Jacket,Navy Sparkles,Maroon,Yes,Maroon,reputation,Getaway Car,,,,,Yes,Gold,Midnights,Maroon,,,,
