,Tour Leg,Night #,City,Day,Date,Show,Special Guest,Announcement,Mishap?,Notes,Lover Bodysuit,The Man Jacket,Mic1,Lover Guitar,Mic2,Fearless Dress,Guitar,Mic3,Red Shirt,Mic4,Romper,WANEGBT Chant (Kam),ATW Robe,Guitar,Mic5,Speak Now Gown,Koi Fish Guitar,Mic6,Rep Jumpsuit,Mic7,folklore Dress,evermore Dress,Standing Ovation,Cloak,Mic8,Old 1989 Set,New 1989 Top,New 1989 Skirt,L Boot,R Boot,Match?,Mic9,TTPD Dress,Gloves,Choker,Mic10,Smallest Man,Broken Heart Set,Broken Heart Jacket,Mic11,Fur,Midnights Shirt,Midnights Bodysuit,Karma Jacket,Mic12,Surprise Song Dress,Speech?,Mic13,Guitar Surprise Song Album 1,Song 1,Guitar Surprise Song Album 2,Song 2,Guitar Surprise Song Album 3,Song 3,Speech?,Mic14,Piano Surprise Song Album 1,P Song 1,Piano Surprise Song Album 2,P Song 2,Piano Surprise Song Album 3,P Song 3
36,US Leg,2,"Minneapolis, MN",Saturday,6/24/2023,37,No,Yes,No,,Purple Tassles,Silver Jacket,Blurple Sparkles,Purple Guitar,Pastel,Long Silver,Sparkly 13,Gold & Black,A Lot Going On,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Pink,,Purple Metallic,Red & Black,Snake,Pink,Orange,2:16,Green,Wood Grain,Pink,Pink,,Pink,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Iridescent,Lines,Magenta,Navy Sparkles,Maroon,Yes,Maroon,Speak Now,Dear John,,,,,No,Gold,Lover,Daylight,,,,
37,US Leg,1,"Cincinnati, OH",Friday,6/30/2023,38,No,Yes,No,,Pink & Blue,Silver Jacket,Blurple Sparkles,Pink Guitar,Pastel,Short Fringe,Sparkly 13,Gold & Black,A Lot Going On,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,White/Silver,,Purple Metallic,Red & Black,Snake,Cream,Orange,1:17,Green,Wood Grain,Pink,Pink,,Pink,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Iridescent,Swirls,Magenta,Navy Sparkles,Maroon,Yes,Maroon,Debut,I'm Only Me When I'm With You,,,,,No,Gold,evermore,evermore,,,,
38,US Leg,2,"Cincinnati, OH",Saturday,7/1/2023,39,Yes,Yes,No,Special Guest Aaron Dessner AND Gracie Abrams w/ 3rd surprise song I miss you I'm sorry,Blue & Gold,Black Jacket,Rain Mic,Blue Guitar,Rain Mic,Long Silver,Sparkly 13,Rain Mic,Ew,Rain Mic,Red/Black,LIKE EVER,Red Black Ombre,Black,Rain Mic,Pink,,Rain Mic,Red & Black,Rain Mic,Green,Orange,0:56,Green,Rain Mic,Orange,Orange,,Orange,,Matching Set,Rain Mic,,,,,,,,,Purple Fur,Silver,Lines,Multicolor,Rain Mic,Yellow,Yes,Rain Mic,evermore,ivy,,,,,No,Rain Mic,reputation,Call It What You Want,,,,
39,US Leg,1,"Kansas City, MO",Friday,7/7/2023,40,Yes,Yes,No,"Speak Now Release Day! Long Live added to setlist. I Can See You music video premiere w/ Joey King, Presley Cash, Taylor Lautner. Koi Fish Guitar for SS",Purple Tassles,Silver Jacket,Blurple Sparkles,Purple Guitar,Pastel,Long Gold,Sparkly 13,Gold & Black,Never Ever,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Purple,Koi Fish,Purple Metallic,Red & Black,Snake,Purple,Orange,1:14,Green,Wood Grain,Orange,Orange,,Orange,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Orchid,Swirls,Multicolor,Navy Sparkles,Yellow,Yes,Maroon,Speak Now,Never Grow Up,,,,,Yes,Gold,Speak Now,When Emma Falls in Love,,,,
40,US Leg,2,"Kansas City, MO",Saturday,7/8/2023,41,No,Yes,Yes,,Pink & Blue,Silver Jacket,Blurple Sparkles,Blue Guitar,Pastel,Short Fringe,Sparkly 13,Gold & Black,A Lot Going On,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Purple,Koi Fish,Purple Metallic,Red & Black,Snake,Green,Orange,1:43,Green,Wood Grain,Pink,Pink,,Pink,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Purple,Lines,Multicolor,Navy Sparkles,Maroon,Yes,Maroon,Speak Now,Last Kiss,,,,,No,Gold,evermore,dorothea,,,,
41,US Leg,1,"Denver, CO",Friday,7/14/2023,42,No,Yes,Yes,,Blue & Gold,Black Jacket,Blurple Sparkles,Blue Guitar,Pastel,Long Silver,Sparkly 13,Gold & Black,A Lot Going On,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Pink,Koi Fish,Purple Metallic,Red & Black,Snake,Pink,Orange,1:40,Green,Wood Grain,Green,Green,,Green,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Iridescent,Lines,Blue,Navy Sparkles,Green,Yes,Maroon,Debut,Picture to Burn,,,,,No,Gold,Speak Now,Timeless,,,,
42,US Leg,2,"Denver, CO",Saturday,7/15/2023,43,No,No,No,,Pink & Blue,Silver Jacket,Blurple Sparkles,Pink Guitar,Pastel,Short Fringe,Sparkly 13,Gold & Black,Ew,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Champagne,Koi Fish,Purple Metallic,Red & Black,Snake,Cream,Orange,1:26,Green,Wood Grain,Pink,Pink,,Pink,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Silver,Swirls,Multicolor,Navy Sparkles,Maroon,Yes,Maroon,Red,Starlight,,,,,No,Gold,Speak Now,Back to December,,,,
43,US Leg,1,"Seattle, WA",Saturday,7/22/2023,44,Yes,Yes,Yes,"no body, no crime with HAIM added to setlist (until LA N6)",Pink & Blue,Silver Jacket,Blurple Sparkles,Pink Guitar,Pastel,Long Silver,Sparkly 13,Gold & Black,Ew,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Champagne,Koi Fish,Purple Metallic,Red & Black,Snake,Cream,Bronze,1:40,Green,Wood Grain,Pink,Pink,,Pink,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Iridescent,Swirls,Magenta,Navy Sparkles,Maroon,Yes,Maroon,reputation,This Is Why We Can't Have Nice Things,,,,,Yes,Gold,Red,Everything Has Changed,,,,
44,US Leg,2,"Seattle, WA",Sunday,7/23/2023,45,Yes,Yes,No,,Blue & Gold,Black Jacket,Blurple Sparkles,Blue Guitar,Pastel,Short Fringe,Sparkly 13,Gold & Black,A Lot Going On,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Pink,Koi Fish,Purple Metallic,Red & Black,Snake,Green,Orange,1:27,Green,Wood Grain,Orange,Orange,,Orange,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Silver,Lines,Blue,Navy Sparkles,Yellow,Yes,Maroon,Red,Message in a Bottle,,,,,No,Gold,Debut,Tied Together With a Smile,,,,
45,US Leg,1,"Santa Clara, CA",Friday,7/28/2023,46,Yes,Yes,Yes,Special Guest Aaron Dessner,Pink & Blue,Black Jacket,Blurple Sparkles,Pink Guitar,Pastel,Long Silver,Sparkly 13,Gold & Black,A Lot Going On,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Purple,Koi Fish,Purple Metallic,Red & Black,Snake,Pink,Orange,4:01,Green,Wood Grain,Orange,Orange,,Orange,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Iridescent,Swirls,Magenta,Navy Sparkles,Yellow,Yes,Maroon,evermore,right where you left me,,,,,No,Gold,Speak Now,Castles Crumbling,,,,
46,US Leg,2,"Santa Clara, CA",Saturday,7/29/2023,47,No,No,No,,Blue & Gold,Black Jacket,Blurple Sparkles,Blue Guitar,Pastel,Short Fringe,Sparkly 13,Gold & Black,Ew,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Purple,Koi Fish,Purple Metallic,Red & Black,Snake,Cream,Bronze,3:06,Green,Wood Grain,Pink,Pink,,Pink,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Orchid,Lines,Blue,Navy Sparkles,Maroon,Yes,Maroon,Red,Stay Stay Stay,,,,,No,Gold,Lover,All of the Girls You Loved Before,,,,
47,US Leg,1,"Los Angeles, CA",Thursday,8/3/2023,48,No,No,No,Filming for Eras Tour Movie,Pink & Blue,Silver Jacket,Blurple Sparkles,Pink Guitar,Pastel,Short Fringe,Sparkly 13,Gold & Black,A Lot Going On,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Purple,Koi Fish,Purple Metallic,Red & Black,Snake,Cream,Yellow,2:02,Green,Wood Grain,Pink,Pink,,Pink,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Iridescent,Swirls,Blue,Navy Sparkles,Maroon,Yes,Maroon,Speak Now,I Can See You,,,,,No,Gold,Midnights,Maroon,,,,
48,US Leg,2,"Los Angeles, CA",Friday,8/4/2023,49,No,No,No,,Pink & Blue,Silver Jacket,Blurple Sparkles,Purple Guitar,Pastel,Short Fringe,Sparkly 13,Gold & Black,A Lot Going On,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Purple,Koi Fish,Purple Metallic,Red & Black,Snake,Cream,Yellow,2:04,Green,Wood Grain,Pink,Pink,,Pink,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Iridescent,Swirls,Blue,Navy Sparkles,Maroon,Yes,Maroon,Debut,Our Song,,,,,No,Gold,1989,You Are in Love,,,,
49,US Leg,3,"Los Angeles, CA",Saturday,8/5/2023,50,No,No,No,,Pink & Blue,Silver Jacket,Blurple Sparkles,Blue Guitar,Pastel,Short Fringe,Sparkly 13,Gold & Black,A Lot Going On,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Purple,Koi Fish,Purple Metallic,Red & Black,Snake,Cream,Yellow,1:58,Green,Wood Grain,Pink,Pink,,Pink,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Iridescent,Swirls,Blue,Navy Sparkles,Maroon,Yes,Maroon,Lover,Death by a Thousand Cuts,,,,,No,Gold,Midnights,"You're On Your Own, Kid",,,,
50,US Leg,4,"Los Angeles, CA",Monday,8/7/2023,51,No,No,Yes,,Blue & Gold,Black Jacket,Blurple Sparkles,Blue Guitar,Pastel,Long Silver,Sparkly 13,Gold & Black,Ew,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Champagne,Koi Fish,Purple Metallic,Red & Black,Snake,Purple,Bronze,1:01,Green,Wood Grain,Orange,Orange,,Orange,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Orchid,Lines,Magenta,Navy Sparkles,Yellow,Yes,Maroon,reputation,Dress,,,,,No,Gold,folklore,exile,,,,
51,US Leg,5,"Los Angeles, CA",Tuesday,8/8/2023,52,No,No,No,Champagne Problems cheer world record!,Purple Tassles,Indigo Jacket,Blurple Sparkles,Purple Guitar,Pastel,Long Gold,Sparkly 13,Gold & Black,Never Ever,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Purple,Koi Fish,Purple Metallic,Red & Black,Snake,Green,Orange,7:43,Green,Wood Grain,Green,Green,,Green,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Silver,Cutout,Blue,Navy Sparkles,Green,Yes,Maroon,1989,I Know Places,,,,,No,Gold,reputation,King of My Heart,,,,
52,US Leg,6,"Los Angeles, CA",Wednesday,8/9/2023,53,No,Yes,Yes,"US Leg 1 Closing Night, 1989 TV Announced",Pink & Blue,Silver Jacket,Blurple Sparkles,Pink Guitar,Pastel,Short Fringe,Sparkly 13,Gold & Black,A Lot Going On,Red & Black,Red/Black,LIKE EVER,Red Black Ombre,Black,Black Sparkles,Blue,Koi Fish,Purple Metallic,Red & Black,Snake,Blue,Yellow,6:46,Green,Wood Grain,Blue,Blue,,Blue,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Blue,Cutout,Blue,Navy Sparkles,Blue,Yes,Maroon,1989,New Romantics,,,,,No,Gold,reputation,New Year's Day,,,,
53,LATAM Leg,1,Mexico City,Thursday,8/24/2023,54,No,No,No,,Pink & Blue,Silver Jacket,Blurple Sparkles,Pink Guitar,Pastel,Short Fringe,Sparkly 13,Gold & Black,A Lot Going On,Red & Black,Red/Black,LIKE NUNCA,Red Black Ombre,Black,Black Sparkles,Purple,Koi Fish,Purple Metallic,Red & Black,Snake,Cream,Yellow,2:39,Green,Wood Grain,Blue,Blue,,Blue,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Iridescent,Swirls,Blue,Navy Sparkles,Blue,Yes,Maroon,Lover,I Forgot That You Existed,,,,,No,Gold,Midnights,Sweet Nothing,,,,
54,LATAM Leg,2,Mexico City,Friday,8/25/2023,55,No,No,No,,Blue & Gold,Black Jacket,Blurple Sparkles,Blue Guitar,Pastel,Long Silver,Sparkly 13,Gold & Black,Ew,Red & Black,Red/Black,LIKE NUNCA,Red Black Ombre,Black,Black Sparkles,Blue,Koi Fish,Purple Metallic,Red & Black,Snake,Green,Bronze,1:55,Green,Wood Grain,Pink,Pink,,Pink,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Orchid,Cutout,Magenta,Navy Sparkles,Maroon,Yes,Maroon,Fearless,Tell Me Why,,,,,No,Gold,Midnights,Snow on the Beach,,,,
55,LATAM Leg,3,Mexico City,Saturday,8/26/2023,56,No,No,No,,Purple Tassles,Indigo Jacket,Blurple Sparkles,Purple Guitar,Pastel,Long Gold,Sparkly 13,Gold & Black,Never Ever,Red & Black,Red/Black,LIKE NUNCA,Red Black Ombre,Black,Black Sparkles,Champagne,Koi Fish,Purple Metallic,Red & Black,Snake,Blue,Orange,2:02,Green,Wood Grain,Green,Green,,Green,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Purple,Lines,Multicolor,Navy Sparkles,Green,Yes,Maroon,Lover,Cornelia Street,,,,,No,Gold,Midnights,"You're On Your Own, Kid",,,,
56,LATAM Leg,4,Mexico City,Sunday,8/27/2023,57,No,No,No,,Pink & Blue,Silver Jacket,Blurple Sparkles,Pink Guitar,Pastel,Short Fringe,Sparkly 13,Gold & Black,A Lot Going On,Red & Black,Red/Black,LIKE NUNCA,Red Black Ombre,Black,Black Sparkles,Purple,Koi Fish,Purple Metallic,Red & Black,Snake,Pink,Yellow,1:38,Green,Wood Grain,Orange,Orange,,Orange,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Pink,Swirls,Blue,Navy Sparkles,Yellow,Yes,Maroon,Lover,Afterglow,,,,,No,Gold,Midnights,Maroon,,,,
57,LATAM Leg,1,Buenos Aires,Thursday,11/9/2023,58,No,No,Yes,,All Pink,Hot Pink,Blurple Sparkles,Pink Guitar,Pastel,Long Gold,Sparkly 13,Gold & Black,Never Ever,Red & Black,Red/Black,NI EN PEDO,Red Black Ombre,Black,Black Sparkles,Purple,Koi Fish,Purple Metallic,Red & Black,Snake,Green,Orange,2:26,Green,Wood Grain,Blue,Blue,,Blue,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Iridescent,Lines,Blue,Navy Sparkles,Blue,Yes,Maroon,Red,The Very First Night,,,,,No,Gold,Midnights,Labyrinth,,,,
58,LATAM Leg,2,Buenos Aires,Saturday,11/11/2023,59,No,Yes,No,"First Travis Appearance, ""Karma is the guy on the Chiefs"" ",Pink & Blue,Silver Jacket,Blurple Sparkles,Pink Guitar,Pastel,Short Fringe,Sparkly 13,Gold & Black,A Lot Going On,Red & Black,Red/Black,NI EN PEDO,Red Black Ombre,Black,Black Sparkles,Champagne,Koi Fish,Purple Metallic,Red & Black,Snake,Blue,Orange,0:53,Green,Wood Grain,Pink,Pink,,Pink,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Orchid,Swirls,Magenta,Navy Sparkles,Maroon,Yes,Maroon,1989,Is It Over Now?,1989,Out of the Woods,,,No,Gold,reputation,End Game,,,,
59,LATAM Leg,3,Buenos Aires,Sunday,11/12/2023,60,No,No,No,,Blue & Gold,Black Jacket,Blurple Sparkles,Blue Guitar,Pastel,Long Silver,Sparkly 13,Gold & Black,Ew,Red & Black,Red/Black,NI A PALOS,Red Black Ombre,Black,Black Sparkles,Blue,Koi Fish,Purple Metallic,Red & Black,Snake,Cream,Yellow,2:27,Green,Wood Grain,Orange,Orange,,Orange,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Iridescent,Cutout,Blue,Navy Sparkles,Yellow,Yes,Maroon,Speak Now,Better Than Revenge,,,,,No,Gold,1989,"""Slut!""",,,,
60,LATAM Leg,1,Rio de Janeiro,Friday,11/17/2023,61,No,No,No,,All Pink,Hot Pink,Blurple Sparkles,Pink Guitar,Pastel,Long Silver,Sparkly 13,Gold & Black,Ew,Red & Black,Red/Black,LIKE NEM FODENDO,Red Black Ombre,Black,Black Sparkles,Blue,Koi Fish,Purple Metallic,Red & Black,Snake,Green,Yellow,0:31,Green,Wood Grain,Orange,Orange,,Orange,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Blue,Cutout,Magenta,Navy Sparkles,Yellow,Yes,Maroon,Debut,Stay Beautiful,,,,,No,Gold,1989,Suburban Legends,,,,
61,LATAM Leg,2,Rio de Janeiro,Sunday,11/19/2023,62,No,No,No,,Pink & Blue,Silver Jacket,Rain Mic,Pink Guitar,Rain Mic,Short Fringe,Sparkly 13,Rain Mic,A Lot Going On,Rain Mic,Red/Black,LIKE NEM FODENDO,Red Black Ombre,Black,Rain Mic,Champagne,Koi Fish,Rain Mic,Red & Black,Rain Mic,Pink,Bronze,1:58,Green,Rain Mic,Blue,Blue,,Blue,,Matching Set,Rain Mic,,,,,,,,,Purple Fur,Pink,Swirls,Magenta,Rain Mic,Blue,Yes,Rain Mic,reputation,Dancing with Our Hands Tied,,,,,No,Rain Mic,Midnights,Bigger Than the Whole Sky,,,,
62,LATAM Leg,3,Rio de Janeiro,Monday,11/20/2023,63,No,No,Yes,,Purple Tassles,Indigo Jacket,Blurple Sparkles,Purple Guitar,Pastel,Long Gold,Sparkly 13,Gold & Black,Never Ever,Red & Black,Red/Black,LIKE NEM FODENDO,Red Black Ombre,Black,Black Sparkles,Purple,Koi Fish,Purple Metallic,Red & Black,Snake,Cream,Orange,0:17,Green,Wood Grain,Green,Green,,Green,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Orchid,Cutout,Blue,Navy Sparkles,Green,Yes,Maroon,Lover,Me!,,,,,No,Gold,reputation,So It Goes...,,,,
63,LATAM Leg,1,São Paulo,Friday,11/24/2023,64,No,No,N/A,,Pink & Blue,Silver Jacket,Blurple Sparkles,Pink Guitar,Pastel,Long Silver,Sparkly 13,Gold & Black,Ew,Red & Black,Red/Black,LIKE NEM FODENDO,Red Black Ombre,Black,Black Sparkles,Champagne,Koi Fish,Purple Metallic,Red & Black,Snake,Purple,Yellow,1:22,Green,Wood Grain,Blue,Blue,,Blue,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Orchid,Cutout,Multicolor,Navy Sparkles,Blue,Yes,Maroon,1989,Now That We Don't Talk,,,,,No,Gold,Speak Now,Innocent,,,,
64,LATAM Leg,2,São Paulo,Saturday,11/25/2023,65,No,No,N/A,,Blue & Gold,Black Jacket,Blurple Sparkles,Blue Guitar,Pastel,Short Fringe,Sparkly 13,Gold & Black,A Lot Going On,Red & Black,Red/Black,LIKE NEM FODENDO,Red Black Ombre,Black,Black Sparkles,Pink,Koi Fish,Purple Metallic,Red & Black,Snake,Blue,Orange,1:43,Green,Wood Grain,Orange,Orange,,Orange,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Iridescent,Swirls,Magenta,Navy Sparkles,Yellow,Yes,Maroon,Non-Album,Safe & Sound,,,,,No,Gold,Fearless,Untouchable,,,,
65,LATAM Leg,3,São Paulo,Sunday,11/26/2023,66,No,No,N/A,,All Pink,Hot Pink,Blurple Sparkles,Pink Guitar,Pastel,Long Gold,Sparkly 13,Gold & Black,Never Ever,Red & Black,Red/Black,LIKE NEM FODENDO,Red Black Ombre,Black,Black Sparkles,Purple,Koi Fish,Purple Metallic,Red & Black,Snake,Cream,Bronze,1:18,Green,Wood Grain,Green,Green,,Green,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Blue,Cutout,Blue,Navy Sparkles,Green,Yes,Maroon,1989,Say Don't Go,,,,,No,Gold,evermore,it's time to go,,,,
66,Asia & Australia Leg,1,Tokyo,Wednesday,2/7/2024,67,No,No,N/A,,Pink & Blue,Silver Jacket,Blurple Sparkles,Pink Guitar,Pastel,Short Fringe,Sparkly 13,Gold & Black,Ew,Red & Black,Red/Black,ARIENI,Red Black Ombre,Black,Black Sparkles,Purple,Koi Fish,Purple Metallic,Red & Black,Snake,Cream,Orange,0:43,Green,Wood Grain,Blue,Blue,,Blue,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Orchid,Swirls,Blue,Navy Sparkles,Blue,Yes,Maroon,Midnights,Dear Reader,,,,,No,Gold,Red,Holy Ground,,,,
67,Asia & Australia Leg,2,Tokyo,Thursday,2/8/2024,68,No,No,N/A,,Blue & Gold,Black Jacket,Blurple Sparkles,Blue Guitar,Pastel,Long Silver,Sparkly 13,Gold & Black,A Lot Going On,Red & Black,Red/Black,ZETTA NAI,Red Black Ombre,Black,Black Sparkles,Champagne,Koi Fish,Purple Metallic,Red & Black,Snake,Green,Bronze,0:57,Green,Wood Grain,Orange,Orange,,Orange,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Iridescent,Swirls,Magenta,Navy Sparkles,Yellow,Yes,Maroon,Non-Album,Eyes Open,,,,,No,Gold,Speak Now,Electric Touch,,,,
68,Asia & Australia Leg,3,Tokyo,Friday,2/9/2024,69,No,No,N/A,,Purple Tassles,Indigo Jacket,Blurple Sparkles,Purple Guitar,Pastel,Long Gold,Sparkly 13,Gold & Black,Never Ever,Red & Black,Red/Black,MAJI MURI,Red Black Ombre,Black,Black Sparkles,Pink,Koi Fish,Purple Metallic,Red & Black,Snake,Pink,Yellow,0:43,Green,Wood Grain,Pink,Pink,,Pink,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Purple,Lines,Multicolor,Navy Sparkles,Maroon,Yes,Maroon,Speak Now,Superman,,,,,Yes,Gold,Debut,The Outside,,,,
69,Asia & Australia Leg,4,Tokyo,Saturday,2/10/2024,70,No,No,N/A,,All Pink,Hot Pink,Blurple Sparkles,Pink Guitar,Pastel,Short Fringe,Sparkly 13,Gold & Black,A Lot Going On,Red & Black,Red/Black,ZETTAI NI NAI,Red Black Ombre,Black,Black Sparkles,Blue,Koi Fish,Purple Metallic,Red & Black,Snake,Blue,Orange,0:59,Green,Wood Grain,Green,Green,,Green,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Blue,Cutout,Blue,Navy Sparkles,Green,Yes,Maroon,Fearless,Come in with the Rain,,,,,No,Gold,Midnights,"You're On Your Own, Kid",,,,
70,Asia & Australia Leg,1,Melbourne,Friday,2/16/2024,71,No,Yes,N/A,"""The Bolter"" variant from TTPD and new vinyl variant announced ",Pink & Blue,Silver Jacket,Blurple Sparkles,Pink Guitar,Pastel,Short Fringe,Sparkly 13,Gold & Black,A Lot Going On,Red & Black,Red/Black,YEAH NAH,Red Black Ombre,Black,Black Sparkles,Purple,Koi Fish,Purple Metallic,Red & Black,Snake,Green,Orange,2:33,Green,Wood Grain,Orange,Orange,,Orange,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Orchid,Cutout,Blue,Navy Sparkles,Yellow,Yes,Maroon,Red,Red,,,,,Yes,Gold,Midnights,You're Losing Me,,,,
71,Asia & Australia Leg,2,Melbourne,Saturday,2/17/2024,72,No,Yes,N/A,,Blue & Gold,Black Jacket,Blurple Sparkles,Blue Guitar,Pastel,Long Silver,Sparkly 13,Gold & Black,Never Ever,Red & Black,Red/Black,LIKE NAUR,Red Black Ombre,Black,Black Sparkles,Champagne,Koi Fish,Purple Metallic,Red & Black,Snake,Cream,Bronze,2:15,Green,Wood Grain,Pink,Pink,,Pink,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Iridescent,Cutout,Multicolor,Navy Sparkles,Maroon,Yes,Maroon,Reputation,Getaway Car,Folklore,august,Fearless,The Other Side of the Door,No,Gold,folklore,this is me trying,,,,
72,Asia & Australia Leg,3,Melbourne,Sunday,2/18/2024,73,No,Yes,N/A,,All Pink,Hot Pink,Blurple Sparkles,Pink Guitar,Pastel,Long Gold,Sparkly 13,Gold & Black,Ew,Red & Black,Red/Black,NAH MATE,Red Black Ombre,Black,Black Sparkles,Blue,Koi Fish,Purple Metallic,Red & Black,Snake,Purple,Orange,2:32,Green,Wood Grain,Blue,Blue,,Blue,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Silver,Cutout,Magenta,Navy Sparkles,Blue,Yes,Maroon,Red,Come Back... Be Here,Lover,Daylight,,,No,Gold,Debut,Teardrops on My Guitar,,,,
73,Asia & Australia Leg,1,Sydney,Friday,2/23/2024,74,Yes,Yes,N/A,"""The Albatross"" variant from TTPD announced AND special guest Sabrina Carpenter",Blue & Gold,Black Jacket,Blurple Sparkles,Blue Guitar,Pastel,Short Fringe,Sparkly 13,Gold & Black,A Lot Going On,Red & Black,Red/Black,YEAH NAHHH,Red Black Ombre,Black,Black Sparkles,Blue,Koi Fish,Purple Metallic,Red & Black,Snake,Cream,Orange,2:14,Green,Wood Grain,Pink,Pink,,Pink,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Orchid,Cutout,Blue,Navy Sparkles,Maroon,Yes,Maroon,1989,How You Get The Girl,,,,,Yes,Gold,Fearless,White Horse,evermore,coney island,,
74,Asia & Australia Leg,2,Sydney,Saturday,2/24/2024,75,No,No,N/A,,Pink & Blue,Silver Jacket,Blurple Sparkles,Pink Guitar,Pastel,Long Silver,Sparkly 13,Gold & Black,Ew,Red & Black,Red/Black,TELL HIM HE'S DREAMING,Red Black Ombre,Black,Black Sparkles,Purple,Koi Fish,Purple Metallic,Red & Black,Snake,Pink,Bronze,2:34,Green,Wood Grain,Blue,Blue,,Blue,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Iridescent,Cutout,Magenta,Navy Sparkles,Blue,Yes,Maroon,Debut,Should've Said No,Fearless,You're Not Sorry,,,Yes,Gold,reputation,New Year's Day,folklore,peace,,
75,Asia & Australia Leg,3,Sydney,Sunday,2/25/2024,76,No,No,N/A,,Purple Tassles,Indigo Jacket,Blurple Sparkles,Purple Guitar,Pastel,Long Gold,Sparkly 13,Gold & Black,Never Ever,Red & Black,Red/Black,BUGGER OFF,Red Black Ombre,Black,Black Sparkles,Pink,Koi Fish,Purple Metallic,Red & Black,Snake,Purple,Yellow,2:44,Green,Wood Grain,Orange,Orange,,Orange,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Silver,Cutout,Multicolor,Navy Sparkles,Yellow,Yes,Maroon,1989,Is It Over Now?,1989,I Wish You Would,,,No,Gold,Speak Now,Haunted,folklore,exile,,
76,Asia & Australia Leg,4,Sydney,Monday,2/26/2024,77,No,No,N/A,,All Pink,Hot Pink,Blurple Sparkles,Pink Guitar,Pastel,Short Fringe,Sparkly 13,Gold & Black,A Lot Going On,Red & Black,Red/Black,RACK OFF MATE,Red Black Ombre,Black,Black Sparkles,Champagne,Koi Fish,Purple Metallic,Red & Black,Snake,Blue,Bronze,1:36,Green,Wood Grain,Green,Green,,Green,,Matching Set,Blue Ombre,,,,,,,,,Purple Fur,Blue,Cutout,Blue,Navy Sparkles,Green,Yes,Maroon,Midnights,Would've Could've Should've,evermore,ivy,,,No,Gold,Fearless,Forever & Always,Midnights,Maroon,,
